AREA,COUNTRY,D1,D2,D3,D4,DIS_LAKE,DIS_MAJOR_RIVER,DIS_OCEAN,DIS_RIVER,ELEV_SRTM,ELEV_SRTM_PRED,LAT,LONGITUDE,LONG_NAME,MATTVEG,MER1990_40,MER1995_40,MER2000_40,MER2005_40,NEWCOUNTRYID,POPGPW_1990_40,POPGPW_1995_40,POPGPW_2000_40,POPGPW_2005_40,PPP1990_40,PPP1995_40,PPP2000_40,PPP2005_40,PREC_NEW,PRECMAX,PRECMIN,PRECSD,PRECAVNEW80_08,PRECSDNEW80_08,QUALITY,RIG_xi0710,ROUGH,SOIL_UNIT,TEMP_NEW,TEMPAV_8008,TEMPMAX,TEMPMIN,TEMPSD,TEMPSD80_08,QUALITY_REVISION,DATE OF LAST,,,,,,,,,
7088.785,Canada,577.9646,577.9646,577.9646,281.8414,281841.4,1035938,577964.6,1046355,497.7376,497.7376,55,-66,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,682.9,93.99,39.84,19.5,638.8439655,110.2266368,1,1,0.09,133,-5.13,-5.013721276,11.39,-23.44,12.67,1.176147972,3,2/1/11,,,,,,,,,
7088.785,Canada,576.5863,576.5863,576.5863,288.6441,288644.1,1060515,576586.3,1073266,463.2212,463.2212,55,-65,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,671.3,96.22,40.67,18.8,609.8396552,108.8014639,1,1,0.05,2,-5.03,-4.865517241,11.46,-22.59,12.36,1.217956893,3,2/1/11,,,,,,,,,
6912.295,Canada,901.9669,901.9669,901.9669,695.0512,695051.2,1114719,901966.9,1111724,231.8849,231.8849,56,-76,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,570.1,88.63,22.77,24.19,589.2474172,43.95936742,0.5,1,0.04,2,-7.18,-5.800790276,9.96,-24.33,12.94,1.504178215,3,2/1/11,,,,,,,,,
6912.295,Canada,862.6837,862.6837,862.6837,644.5496,644549.6,1101697,862683.7,1097911,266.1134,266.1134,56,-75,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,573,89.99,24.34,23.87,603.9284483,43.07135469,1,1,0.03,2,-6.73,-5.548275897,10.16,-24.35,12.99,1.410720893,3,2/1/11,,,,,,,,,
6912.295,Canada,826.4434,826.4434,826.4434,596.2349,596234.9,1092485,826443.4,1087902,308.8135,308.8135,56,-74,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,579.6,90.72,25.61,23.53,615.0655172,43.91119865,1,1,0.03,2,-6.3,-5.316307483,10.39,-24.43,13.03,1.341973749,3,2/1/11,,,,,,,,,
6912.295,Canada,793.6675,793.6675,793.6675,550.6896,550689.6,1087183,793667.6,1081803,348.8271,348.8271,56,-73,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,584.4,91.26,27.38,23.05,594.6896552,46.82282693,1,1,0.04,2,-5.9,-5.611925345,10.51,-24.54,13.06,1.308688562,3,2/1/11,,,,,,,,,
6912.295,Canada,764.7646,764.7646,764.7646,508.6645,508664.5,1085272,764764.6,1079682,366.6325,366.6325,56,-72,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,584.3,89.85,28.33,22.32,575.1293103,51.56596117,1,1,0.04,2,-5.35,-5.669683828,10.8,-24.43,13.08,1.297261202,3,2/1/11,,,,,,,,,
6912.295,Canada,740.1666,740.1666,740.1666,471.1081,471108.1,1084897,740166.6,1081561,388.3097,388.3097,56,-71,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,577.4,88.45,30.97,21.07,567.65,57.32259473,1,1,0.04,2,-5.6,-5.859267172,10.87,-24.54,13.13,1.291992017,3,2/1/11,,,,,,,,,
6912.295,Canada,720.3871,720.3871,720.3871,439.1737,439173.7,1088237,720387.1,1087421,347.805,347.805,56,-70,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,570.2,84.51,32.11,19.58,566.0094862,63.56472717,1,1,0.07,2,-5.5,-5.481968448,11.33,-24.24,13.17,1.295200198,3,2/1/11,,,,,,,,,
6912.295,Canada,705.834,705.834,705.834,414.1678,414167.8,1095522,705834,1097196,276.9176,276.9176,56,-69,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,579.7,80.78,32.73,18.33,574.5060345,68.67275194,1,1,0.06,2,-5.1,-4.99375,11.69,-23.8,13.11,1.29628127,3,2/1/11,,,,,,,,,
