# Column 1: Latitude
# Column 2: Longitude
# Column 3: Gamma linear coefficient
# Column 4: Gamma quadratic coefficient
# Column 5: rho
            45.0            11.0  0.004684176069 -0.000001057316  0.234716808609
            19.0           -99.0  0.002048996386 -0.000000030559  0.225745107930
            25.0           121.0  0.003498463402 -0.000000848724  0.198164850218
            35.0           137.0  0.004729580185 -0.000001127779  0.292953045234
            51.0             5.0  0.004746904797 -0.000001280010  0.247136525284
            34.0           132.0  0.004625398987 -0.000001058276  0.288288133701
            52.0             5.0  0.004865971909 -0.000001301849  0.312814678564
            45.0             7.0  0.004675310447 -0.000001080467  0.220368995739
            45.0             4.0  0.004531310937 -0.000001060339  0.175686158556
            40.0            14.0  0.004824977365 -0.000001151789  0.275853474291
            38.0          -122.0  0.004200148148 -0.000000865784  0.179493733784
            44.0           -94.0  0.005934596018 -0.000001224262  0.208519042581
            48.0             8.0  0.004826732168 -0.000001217210  0.185271647860
            36.0           140.0  0.004814382982 -0.000001164284  0.289808426660
            42.0           -88.0  0.005451527336 -0.000001235544  0.169509045816
            25.0           -81.0  0.002759235638 -0.000000488509  0.233519415382
           -34.0           151.0  0.002123431423 -0.000000228209  0.292351162014
            50.0             6.0  0.004694119023 -0.000001251928  0.199098077043
            23.0           120.0  0.002907085997 -0.000000610748  0.177713048154
            34.0           136.0  0.004372390617 -0.000000972747  0.283664600344
            25.0            49.0  0.005117646739 -0.000001070924  0.378409019951
            38.0           -10.0  0.004111804893 -0.000001002935  0.265391938798
            35.0           129.0  0.004413102624 -0.000000866100  0.313624194192
            53.0             9.0  0.004947160285 -0.000001247204  0.269737438723
            32.0          -118.0  0.003576261178 -0.000000787518  0.156720222190
            32.0           -98.0  0.003009630325 -0.000000421262  0.126284398448
            35.0            51.0  0.005511148277 -0.000001214159  0.335651182050
            51.0             4.0  0.004764143403 -0.000001289815  0.272212635746
            27.0           -83.0  0.002479933055 -0.000000278639  0.141340944524
            45.0            10.0  0.004653305039 -0.000001048396  0.234811849027
