Column 1: year (1 = 1990)
Column 2: GDP with population change and climate change
Column 3: GDP without population change and climate change
Column 4: GDP with population change and without climate change
Column 5: GDP without population change and without climate change
Column 6: GDP/capita with population change and climate change
Column 7: GDP/capita without population change and climate change
Column 8: GDP/capita with population change and without climate change
Column 9: GDP/capita without population change and without climate change

                        Y,Y              N,Y           Y,N             N,N           Y,Y             N,Y          Y,N          N,N
               108    44773.08708    33228.08505    53408.15383    36096.98717   0.004457459   0.006333377   0.005317138   0.006880199
               109    44715.21703    33215.74613    53386.96891    36096.98728   0.004456385   0.006331025   0.005320624   0.006880199
               110    44657.07876    33203.93280    53363.67964    36096.98738   0.004455622   0.006328774   0.005324316   0.006880199
               111    44599.09262    33192.62779    53338.89137    36096.98748   0.004455183   0.006326619   0.005328236   0.006880199
               112    44541.50511    33181.81394    53310.94179    36096.98756   0.004454473   0.006324558   0.005331480   0.006880199
               113    44486.40844    33171.47422    53284.29985    36096.98764   0.004453716   0.006322587   0.005334509   0.006880199
               114    44433.73685    33161.59181    53258.94764    36096.98771   0.004452920   0.006320703   0.005337337   0.006880199
               115    44383.42655    33152.15013    53234.86849    36096.98778   0.004452090   0.006318904   0.005339976   0.006880199
               116    44335.40935    33143.13285    53212.03842    36096.98784   0.004451235   0.006317185   0.005342440   0.006880199
               117    44289.61666    33134.52396    53190.43042    36096.98789   0.004450358   0.006315544   0.005344740   0.006880199
               118    44245.98438    33126.30777    53170.02029    36096.98794   0.004449467   0.006313978   0.005346886   0.006880199
               119    44204.43753    33118.46891    53150.76918    36096.98799   0.004448564   0.006312484   0.005348888   0.006880199
               120    44164.90575    33110.99241    53132.64001    36096.98803   0.004447654   0.006311059   0.005350756   0.006880199
               121    44127.31826    33103.86364    53115.59480    36096.98807   0.004446742   0.006309700   0.005352497   0.006880199
               122    44091.60711    33097.06839    53099.59634    36096.98810   0.004445829   0.006308405   0.005354119   0.006880199
               123    44057.70622    33090.59284    53084.60740    36096.98813   0.004444919   0.006307171   0.005355630   0.006880199
               124    44025.54470    33084.42355    53070.58341    36096.98816   0.004444015   0.006305995   0.005357037   0.006880199
               125    43995.05736    33078.54751    53057.48553    36096.98819   0.004443120   0.006304875   0.005358346   0.006880199
               126    43966.17783    33072.95212    53045.27111    36096.98821   0.004442234   0.006303808   0.005359563   0.006880199
               127    43938.84201    33067.62522    53033.89849    36096.98823   0.004441360   0.006302793   0.005360693   0.006880199
               128    43912.98819    33062.55499    53023.32835    36096.98825   0.004440500   0.006301827   0.005361742   0.006880199
               129    43888.56309    33057.73004    53013.52863    36096.98826   0.004439655   0.006300907   0.005362714   0.006880199
               130    43865.50189    33053.13938    53004.45291    36096.98828   0.004438827   0.006300032   0.005363614   0.006880199
               131    43843.74747    33048.77240    52996.06214    36096.98829   0.004438016   0.006299200   0.005364445   0.006880199
               132    43823.24578    33044.61888    52988.32106    36096.98830   0.004437223   0.006298408   0.005365212   0.006880199
               133    43803.94515    33040.66899    52981.19450    36096.98831   0.004436449   0.006297655   0.005365918   0.006880199
               134    43785.79885    33036.91323    52974.65305    36096.98832   0.004435695   0.006296939   0.005366567   0.006880199
               135    43768.75477    33033.34250    52968.65999    36096.98833   0.004434961   0.006296259   0.005367161   0.006880199
               136    43752.76456    33029.94802    52963.18200    36096.98834   0.004434248   0.006295612   0.005367704   0.006880199
               137    43737.78408    33026.72134    52958.18937    36096.98834   0.004433555   0.006294997   0.005368197   0.006880199
               138    43723.77011    33023.65437    52953.65373    36096.98834   0.004432883   0.006294412   0.005368644   0.006880199
               139    43710.68716    33020.73929    52949.55404    36096.98835   0.004432232   0.006293857   0.005369046   0.006880199
               140    43698.49169    33017.96863    52945.85954    36096.98835   0.004431601   0.006293328   0.005369405   0.006880199
               141    43687.14574    33015.33518    52942.54641    36096.98835   0.004430990   0.006292826   0.005369723   0.006880199
               142    43676.61503    33012.83201    52939.59327    36096.98834   0.004430399   0.006292349   0.005370002   0.006880199
               143    43666.86591    33010.45248    52936.97989    36096.98834   0.004429826   0.006291896   0.005370242   0.006880199
               144    43657.87198    33008.19017    52934.69417    36096.98834   0.004429273   0.006291465   0.005370445   0.006880199
               145    43649.59783    33006.03893    52932.71272    36096.98833   0.004428737   0.006291055   0.005370613   0.006880199
               146    43642.01511    33003.99281    52931.02058    36096.98832   0.004428218   0.006290665   0.005370744   0.006880199
               147    43635.09522    33002.04610    52929.60256    36096.98831   0.004427714   0.006290294   0.005370841   0.006880199
               148    43628.81452    33000.19325    52928.44870    36096.98830   0.004427224   0.006289940   0.005370902   0.006880199
               149    43623.15145    32998.42894    52927.55216    36096.98829   0.004426747   0.006289604   0.005370930   0.006880199
               150    43618.07900    32996.74798    52926.89929    36096.98827   0.004426281   0.006289284   0.005370922   0.006880199
